,Subject,Condition,Rep,Primitives,LAP,VAF,Bins,Dance_Years
246,17,C_F_C,2,7,216196.48500711785,99.62998588550994,32,15.0
247,17,C_F_C,3,9,202457.44718218272,98.89278727385656,18,15.0
248,17,C_F_F,1,10,204702.31802495843,99.46260967730557,20,15.0
249,17,C_F_F,2,6,214034.27094053035,99.60709521041284,38,15.0
250,17,C_F_F,3,6,222428.32150355668,99.59034023027544,38,15.0
251,17,C_T_Q,2,5,170082.7435331149,99.47636525428663,38,15.0
252,17,C_T_Q,3,7,164207.11756981473,98.95925601740198,24,15.0
253,17,C_T_S,2,8,229135.94042573543,99.25837705097244,24,15.0
254,17,I,1,6,172755.63647707127,98.61501620932836,38,15.0
255,17,I,2,16,152242.76193739838,97.6656215699866,28,15.0
256,17,I,3,8,163722.0873151624,98.9305125319018,30,15.0
257,17,N,1,8,211948.909846746,99.30079535779768,24,15.0
258,17,N,2,8,217116.54570445992,99.35917705920684,24,15.0
259,17,N,3,7,223176.12750532263,99.40431417662546,28,15.0
260,18,C_F_C,1,7,221058.7732076234,98.87788614499595,40,14.0
261,18,C_F_C,2,9,234472.81505046884,98.72423274216266,26,14.0
262,18,C_F_C,3,9,229756.64640767203,99.45609372402888,32,14.0
263,18,C_F_F,1,7,195703.1683135943,98.7095165796222,36,14.0
264,18,C_F_F,2,7,223921.55435756428,99.36444451071952,30,14.0
265,18,C_F_F,3,8,216190.1944383753,99.5648509889504,36,14.0
266,18,C_T_Q,1,8,155290.17850569208,98.6394555285491,24,14.0
267,18,C_T_Q,3,7,154094.45016350743,99.35268843273892,36,14.0
268,18,C_T_S,1,16,285216.7886097921,98.01328010032508,40,14.0
269,18,C_T_S,2,8,316315.38722594635,99.18838787064638,38,14.0
270,18,C_T_S,3,8,300726.2884432865,99.09144511297784,34,14.0
271,18,I,1,7,134799.52094966435,98.6230279832916,28,14.0
272,18,I,2,7,150855.26324788335,98.18135336968112,28,14.0
273,18,I,3,6,154365.87055317586,98.3068238347645,34,14.0
274,18,N,1,8,220319.7743991436,99.12773120571104,32,14.0
275,18,N,2,15,226973.3734167748,99.04509534233014,24,14.0
276,18,N,3,8,218426.2398568916,99.24234288179288,36,14.0
277,19,C_F_C,1,7,203759.9888400302,99.54941051989478,30,10.0
278,19,C_F_C,2,7,205251.08952515468,99.56543633829864,30,10.0
279,19,C_F_C,3,7,215280.10183977368,99.3324690737863,30,10.0
280,19,C_F_F,1,9,214789.4793970356,99.41509151803308,28,10.0
281,19,C_F_F,3,7,191508.2366489141,99.39110091541836,32,10.0
282,19,C_T_Q,1,5,127931.66994939404,99.63679466208757,34,10.0
283,19,C_T_Q,2,7,124440.94153450246,99.23989057030622,24,10.0
284,19,C_T_Q,3,7,125483.06089349028,99.66176105682707,30,10.0
285,19,C_T_S,1,8,247893.60112665792,99.36723698227227,40,10.0
286,19,C_T_S,2,7,282124.54311502434,99.38615076611174,38,10.0
287,19,C_T_S,3,16,274385.5649685576,99.16237221489132,30,10.0
288,19,I,1,8,147827.94485948564,98.61098460653082,32,10.0
289,19,I,2,9,137931.96229059517,98.36508659589232,28,10.0
290,19,I,3,7,152124.64777035636,98.39322751666502,36,10.0
291,19,N,1,6,201673.7543514263,99.65912655216069,38,10.0
292,19,N,2,10,184433.8408249622,98.85596340651956,36,10.0
293,19,N,3,7,201446.703164256,99.38663451722005,38,10.0
294,20,C_F_C,1,9,229319.4522382423,99.5639841032641,26,18.0
295,20,C_F_C,2,9,235507.73417929537,99.55131679755836,22,18.0
296,20,C_F_C,3,8,244197.84983706017,99.22975131711922,22,18.0
297,20,C_F_F,1,6,174942.70274586498,99.34975204324206,32,18.0
298,20,C_F_F,2,7,152295.112391483,99.29875310793535,26,18.0
299,20,C_F_F,3,8,165784.3203605184,99.60212318702206,24,18.0
300,20,C_T_Q,1,7,155415.90442396523,99.44453272248565,26,18.0
301,20,C_T_Q,2,7,151596.24016515294,99.35565023326052,26,18.0
302,20,C_T_Q,3,6,151165.28330045432,99.46731998361726,30,18.0
303,20,C_T_S,1,14,312292.3438573131,98.88113414359874,24,18.0
304,20,C_T_S,2,9,342599.55136922805,99.4648223519862,34,18.0
305,20,C_T_S,3,7,335164.01032747515,99.39261656869736,34,18.0
306,20,I,1,8,155709.09128486516,98.44297094405457,28,18.0
307,20,I,2,8,113277.52472338108,96.34274540272258,36,18.0
308,20,I,3,7,160804.24197950237,99.11128429388684,38,18.0
309,20,N,1,10,207193.95253626496,99.24858538186906,22,18.0
310,20,N,2,7,209882.9808541314,99.18180986621488,26,18.0
311,20,N,3,7,205461.00172778493,99.21215315771268,34,18.0
312,21,C_F_C,1,7,241269.0348050792,99.68877540091556,36,2.5
313,21,C_F_C,2,7,231826.403336926,99.75200649988058,34,2.5
314,21,C_F_C,3,6,223677.63453340612,99.42798871810994,36,2.5
315,21,C_F_F,1,7,218600.00509647804,99.39573614280806,38,2.5
316,21,C_F_F,2,6,233958.3451652687,99.45658210013409,38,2.5
317,21,C_F_F,3,7,204563.6101663781,99.32755573659064,32,2.5
318,21,C_T_Q,1,6,151206.1815527779,99.66697364806946,36,2.5
319,21,C_T_Q,2,6,154746.58617674635,99.54149171926228,36,2.5
320,21,C_T_Q,3,6,154102.3086072879,99.47605743622822,34,2.5
321,21,C_T_S,1,6,234501.05760126864,99.47922476836024,38,2.5
322,21,C_T_S,2,7,242885.7763369728,99.6526545703527,34,2.5
323,21,C_T_S,3,6,235365.502200936,99.52396108808476,38,2.5
324,21,I,1,8,164573.20639469166,98.72189221630197,30,2.5
325,21,I,2,7,167692.75435237383,98.7167659497624,30,2.5
326,21,I,3,5,146816.97830249602,96.7658218096421,40,2.5
327,21,N,1,7,228499.98500495395,99.6076785260421,32,2.5
328,21,N,2,6,194506.67435443183,99.46279899612551,38,2.5
329,21,N,3,7,196436.8226051495,99.63578595029028,32,2.5
